Name,Year,Price,Car_Age
Honda Jazz V,2011,4.5,14
Maruti Ertiga VDI,2012,6.0,13
Audi A4 New 2.0 TDI Multitronic,2013,17.74,12
Nissan Micra Diesel XV,2013,3.5,12
Volkswagen Vento Diesel Comfortline,2013,5.2,12
Tata Indica Vista Quadrajet LS,2012,1.95,13
Honda City 1.5 V AT Sunroof,2012,4.49,13
Land Rover Range Rover 2.2L Pure,2014,27.0,11
Land Rover Freelander 2 TD4 SE,2012,17.5,13
Mitsubishi Pajero Sport 4X4,2014,15.0,11
Renault Duster 85PS Diesel RxL Plus,2014,6.34,11
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,28.0,11
BMW 3 Series 320d,2014,18.55,11
Hyundai i20 1.2 Magna,2010,1.87,15
Volkswagen Vento Petrol Highline AT,2010,2.85,15
Honda City Corporate Edition,2012,4.25,13
Nissan Micra Diesel XV,2012,4.25,13
Maruti Alto K10 2010-2014 VXI,2013,2.75,12
Toyota Innova 2.5 V Diesel 7-seater,2007,4.0,18
Renault Duster 110PS Diesel RxZ Pack,2013,7.75,12
Toyota Corolla Altis G,2012,6.75,13
Mahindra Ssangyong Rexton RX7,2013,12.5,12
Audi A6 2.7 TDI,2010,11.5,15
Volkswagen Vento 1.6 Highline,2014,6.98,11
Maruti Wagon R LXI BSIII,2009,1.85,16
Mercedes-Benz M-Class ML 350 CDI,2013,28.0,12
Volkswagen Polo Diesel Trendline 1.2L,2013,5.0,12
Maruti Alto LXi,2008,1.25,17
Tata Nano LX SE,2014,1.53,11
Hyundai i20 Magna Optional 1.2,2014,4.74,11
Hyundai Elantra 2.0 SX Option AT,2014,8.85,11
Hyundai Elantra CRDi,2008,4.25,17
Toyota Innova Crysta 2.7 GX MT,2012,10.95,13
Hyundai Xcent 1.1 CRDi S,2014,3.85,11
Mahindra Thar CRDe AC,2012,5.5,13
Maruti Swift LDI,2014,4.25,11
Maruti Swift Ldi BSIV,2014,3.3,11
Maruti Swift VDI,2013,3.85,12
Hyundai i10 Asta,2010,2.07,15
Nissan X-Trail SLX AT,2010,7.75,15
Maruti Zen Estilo VXI BSIII,2010,2.25,15
Ford Figo Diesel Titanium,2010,2.75,15
Mercedes-Benz New C-Class 200 CDI Classic,2011,10.0,14
Audi A4 2.0 TDI Multitronic,2012,13.5,13
Honda City ZX CVT,2007,1.85,18
Porsche Cayenne 2009-2014 Turbo,2008,14.5,17
Hyundai i10 Sportz 1.2 AT,2012,3.48,13
Audi A6 2.0 TDI Design Edition,2014,29.5,11
Toyota Innova 2.0 G1,2006,4.5,19
Toyota Innova 2.5 VX 7 STR BSIV,2012,11.75,13
Maruti Swift VDI,2012,3.75,13
Ford Figo Diesel ZXI,2012,2.8,13
Maruti Ritz VDi,2013,3.11,12
Honda City i VTEC E,2009,3.25,16
BMW 5 Series 2003-2012 525d,2011,13.9,14
Hyundai i10 Sportz 1.2,2009,2.25,16
Toyota Fortuner 4x2 Manual,2014,16.5,11
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,5.5,12
Mahindra XUV500 W8 2WD,2014,8.1,11
Volkswagen Polo Diesel Highline 1.2L,2013,2.79,12
Hyundai Verna Transform SX VGT CRDi,2010,3.45,15
Volkswagen Polo Petrol Highline 1.6L,2010,2.65,15
Hyundai i20 1.4 CRDi Sportz,2011,3.8,14
Hyundai i20 Asta 1.2,2014,4.65,11
Audi A4 3.0 TDI Quattro Premium,2010,9.8,15
Hyundai i20 2015-2017 Asta,2009,2.7,16
Maruti Omni 5 Str STD,2010,2.41,15
Toyota Etios Liva 1.2 G,2014,3.9,11
Jaguar XF 3.0 Litre S Premium Luxury,2011,24.0,14
Mahindra XUV500 W8 2WD,2012,5.75,13
Hyundai Verna 1.6 SX CRDI (O) AT,2014,5.25,11
Tata Nano Twist XT,2014,2.15,11
Honda Civic 2006-2010 1.8 V MT,2010,3.35,15
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,11.11,11
Volvo V40 Cross Country D3,2014,20.0,11
BMW 5 Series 2010-2013 525i,2009,7.0,16
