Name,Year,Price,Car_Age
Hyundai Creta 1.6 CRDi SX Option,2015,12.5,10
Honda Jazz V,2011,4.5,14
Maruti Ertiga VDI,2012,6.0,13
Audi A4 New 2.0 TDI Multitronic,2013,17.74,12
Nissan Micra Diesel XV,2013,3.5,12
Toyota Innova Crysta 2.8 GX AT 8S,2016,17.5,9
Volkswagen Vento Diesel Comfortline,2013,5.2,12
Tata Indica Vista Quadrajet LS,2012,1.95,13
Maruti Ciaz Zeta,2018,9.95,7
Honda City 1.5 V AT Sunroof,2012,4.49,13
Maruti Swift VDI BSIV,2015,5.6,10
Land Rover Range Rover 2.2L Pure,2014,27.0,11
Land Rover Freelander 2 TD4 SE,2012,17.5,13
Mitsubishi Pajero Sport 4X4,2014,15.0,11
Honda Amaze S i-Dtech,2016,5.4,9
Maruti Swift DDiS VDI,2017,5.99,8
Renault Duster 85PS Diesel RxL Plus,2014,6.34,11
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,28.0,11
BMW 3 Series 320d,2014,18.55,11
Maruti S Cross DDiS 200 Alpha,2015,8.25,10
Audi A6 2011-2015 35 TFSI Technology,2015,23.5,10
Hyundai i20 1.2 Magna,2010,1.87,15
Volkswagen Vento Petrol Highline AT,2010,2.85,15
Honda City Corporate Edition,2012,4.25,13
Nissan Micra Diesel XV,2012,4.25,13
Maruti Alto K10 2010-2014 VXI,2013,2.75,12
Honda WRV i-VTEC VX,2018,9.9,7
Toyota Innova 2.5 V Diesel 7-seater,2007,4.0,18
Renault Duster 110PS Diesel RxZ Pack,2013,7.75,12
Toyota Corolla Altis G,2012,6.75,13
Mahindra Ssangyong Rexton RX7,2013,12.5,12
Audi A6 2.7 TDI,2010,11.5,15
Volkswagen Vento 1.6 Highline,2014,6.98,11
Maruti Wagon R LXI BSIII,2009,1.85,16
Maruti Vitara Brezza ZDi Plus,2018,8.63,7
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,4.85,8
Mercedes-Benz M-Class ML 350 CDI,2013,28.0,12
Volkswagen Polo Diesel Trendline 1.2L,2013,5.0,12
Maruti Alto LXi,2008,1.25,17
Tata Nano LX SE,2014,1.53,11
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,5.58,8
Hyundai i20 Magna Optional 1.2,2014,4.74,11
