Unnamed: 0,Name,Location,Year,Odometer,Owner_Type,Mileage,Engine,Horsepower,Seats,Original_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Km_per_Year
4079,Land Rover Range Rover 3.0 Diesel LWB Vogue,Hyderabad,2017,25000,First,13.33,2993.0,255.0,5.0,2.3,160.0,False,False,False,8,3125.0
5781,Lamborghini Gallardo Coupe,Delhi,2011,6500,Third,6.4,5204.0,560.0,2.0,,120.0,False,True,False,14,464.2857142857143
5919,Jaguar F Type 5.0 V8 S,Hyderabad,2015,8000,First,12.5,5000.0,488.1,2.0,,100.0,False,True,False,10,800.0
1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993.0,255.0,5.0,1.39,97.07,False,False,False,6,4335.5
1974,BMW 7 Series 740Li,Coimbatore,2018,28060,First,12.05,2979.0,320.0,5.0,,93.67,False,True,False,7,4008.5714285714284
1984,BMW 7 Series 740Li,Bangalore,2017,17465,First,12.05,2979.0,320.0,5.0,,93.0,False,True,False,8,2183.125
4691,Mercedes-Benz SLK-Class 55 AMG,Bangalore,2014,3000,Second,12.0,5461.0,421.0,2.0,,90.0,False,True,False,11,272.72727272727275
5535,BMW X6 xDrive 40d M Sport,Ahmedabad,2015,97003,First,15.87,2993.0,308.43,5.0,,85.0,False,False,False,10,9700.3
2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,First,19.0,2996.0,362.07,2.0,1.06,83.96,False,True,False,6,421.0
1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,First,11.0,2987.0,258.0,7.0,1.02,79.0,False,False,False,7,857.1428571428571
2422,Jaguar XJ 3.0L Portfolio,Delhi,2016,12000,First,10.5,2993.0,271.23,4.0,,79.0,False,False,False,9,1333.3333333333333
2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,First,18.0,2987.0,258.0,5.0,92.5,78.8,False,False,False,6,1552.0
655,Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,First,9.43,1999.0,237.4,5.0,,75.0,False,True,False,8,1312.625
2659,Porsche Panamera Diesel,Kolkata,2015,25100,First,17.85,2967.0,300.0,4.0,,75.0,False,False,False,10,2510.0
3489,Porsche Panamera Diesel,Bangalore,2013,19828,Second,17.85,2967.0,300.0,4.0,,75.0,False,False,False,12,1652.3333333333333
2907,Jaguar XJ 3.0L Portfolio,Hyderabad,2015,26000,First,14.47,2993.0,301.73,5.0,,75.0,False,False,False,10,2600.0
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,14.75,2967.0,245.0,7.0,91.38,72.94,False,False,False,6,1128.8333333333333
5603,Porsche Panamera 2010 2013 Diesel,Delhi,2013,36400,First,7.5,4806.0,394.3,4.0,,72.0,False,False,False,12,3033.3333333333335
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,First,11.5,2996.0,367.0,5.0,95.38,70.99,False,True,False,7,3199.5714285714284
1690,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,First,11.57,2987.0,254.79,5.0,95.13,70.8,False,False,False,7,5732.714285714285
3752,Land Rover Range Rover Sport HSE,Kochi,2015,38467,First,12.65,2993.0,255.0,5.0,1.6,70.66,False,False,False,10,3846.7
282,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,First,12.07,2967.0,241.4,7.0,,70.36,False,False,False,7,1612.4285714285713
2541,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Kochi,2018,21603,First,13.0,2987.0,265.0,5.0,,70.15,False,False,False,7,3086.1428571428573
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,First,10.2,4367.0,308.0,7.0,,70.0,False,False,False,13,5118.307692307692
4614,BMW X5 X5 M,Chennai,2017,15000,First,15.97,2993.0,258.0,5.0,,70.0,False,False,False,8,1875.0
1194,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,2017,15000,First,13.0,2987.0,265.0,5.0,,69.5,False,False,False,8,1875.0
4360,BMW 6 Series Gran Coupe,Kochi,2018,20004,First,17.54,2993.0,313.0,4.0,,68.94,False,False,False,7,2857.714285714286
5009,Audi Q7 45 TDI Quattro Technology,Pune,2017,59500,First,14.75,2967.0,245.0,7.0,99.92,68.0,False,False,False,8,7437.5
5341,Porsche Cayenne S Diesel,Coimbatore,2016,65003,First,13.6,4134.0,382.0,5.0,,67.83,False,False,False,9,7222.555555555556
1038,Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,First,10.2,4367.0,308.0,7.0,,67.0,False,False,False,14,3928.5714285714284
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,First,14.75,2967.0,245.0,7.0,1.04,67.0,False,False,False,9,2222.4444444444443
5416,Land Rover Range Rover Vogue SE 4.4 SDV8,Coimbatore,2013,75995,Second,11.49,4367.0,335.3,5.0,,65.81,False,False,False,12,6332.916666666667
4527,Mercedes-Benz GLE 350d,Chennai,2016,29000,First,11.57,2987.0,254.79,5.0,92.79,65.0,False,False,False,9,3222.222222222222
2328,BMW X5 xDrive 30d M Sport,Chennai,2017,6500000,First,15.97,2993.0,258.0,5.0,,65.0,False,False,False,8,812500.0
3242,Land Rover Range Rover Vogue SE 4.4 SDV8,Bangalore,2012,63000,Second,11.49,4367.0,335.3,5.0,,65.0,False,False,False,13,4846.153846153846
2808,Mercedes-Benz GLE 350d,Mumbai,2017,19863,First,11.57,2987.0,254.79,5.0,91.23,64.95,False,False,False,8,2482.875
1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,First,11.57,2987.0,254.79,5.0,95.13,64.87,False,False,False,8,4194.0
5545,Land Rover Range Rover Sport SE,Delhi,2014,47000,Second,12.65,2993.0,255.0,5.0,1.39,64.75,False,False,False,11,4272.727272727273
1078,Porsche Boxster S tiptronic,Kolkata,2015,10512,First,8.6,2706.0,265.0,2.0,,64.0,False,True,False,10,1051.2
392,Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,2017,56451,First,13.5,2987.0,282.0,5.0,,62.81,False,False,False,8,7056.375
327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,First,14.75,2967.0,245.0,7.0,1.04,62.67,False,False,False,8,12178.75
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,First,11.57,2987.0,254.79,5.0,95.13,61.29,False,False,False,8,3727.375
5516,BMW X3 xDrive 20d Luxury Line,Mumbai,2018,1400,First,18.56,1995.0,190.0,5.0,70.55,61.25,False,False,False,7,200.0
4185,Porsche Panamera Diesel,Kochi,2015,54996,First,17.85,2967.0,300.0,4.0,,60.95,False,False,False,10,5499.6
5118,Mercedes-Benz GLE 350d,Bangalore,2016,28541,First,11.57,2987.0,254.79,5.0,95.13,60.75,False,False,False,9,3171.222222222222
2547,BMW X6 xDrive 40d M Sport,Chennai,2016,25000,First,15.87,2993.0,308.43,5.0,,60.0,False,False,False,9,2777.777777777778
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68,1999.0,177.0,5.0,75.12,59.72,False,False,False,7,4489.571428571428
3268,Mercedes-Benz GLE 350d,Coimbatore,2018,29277,First,11.57,2987.0,254.79,5.0,95.13,59.65,False,False,False,7,4182.428571428572
2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,First,11.57,2987.0,254.79,5.0,95.13,59.29,False,False,False,7,4386.571428571428
5521,Bentley Continental Flying Spur,Hyderabad,2006,48000,First,8.6,5998.0,552.0,4.0,,59.0,False,True,False,19,2526.315789473684
5067,Land Rover Discovery Sport SD4 HSE Luxury 7S,Coimbatore,2019,17201,First,12.51,2179.0,187.7,7.0,,58.91,False,False,False,6,2866.8333333333335
1496,Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,First,12.9,2993.0,270.88,5.0,,58.73,False,False,False,9,1961.3333333333333
4893,BMW Z4 2009-2013 Roadster 2.5i,Kochi,2018,9952,First,10.37,2979.0,306.0,2.0,,58.54,False,True,False,7,1421.7142857142858
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,First,15.97,2993.0,258.0,7.0,,58.0,False,False,False,9,8444.444444444445
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,First,17.9,2143.0,201.15,5.0,79.43,57.0,False,False,False,8,3625.0
4101,BMW X5 xDrive 30d M Sport,Chennai,2016,45000,First,15.97,2993.0,258.0,5.0,,57.0,False,False,False,9,5000.0
4451,Ford Mustang V8,Kochi,2018,21290,First,13.0,4951.0,395.0,4.0,83.92,56.8,False,True,False,7,3041.4285714285716
2111,Mercedes-Benz GLE 250d,Kochi,2017,25601,First,17.9,2143.0,201.15,5.0,78.76,56.73,False,False,False,8,3200.125
2509,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,First,16.1,1950.0,194.0,5.0,70.55,56.5,False,False,False,7,1571.4285714285713
5038,Land Rover Discovery Sport TD4 HSE 7S,Coimbatore,2019,24013,First,12.81,1999.0,148.31,7.0,69.22,56.14,False,False,False,6,4002.1666666666665
489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,First,11.0,2987.0,258.0,7.0,1.0,56.0,False,False,False,8,16125.0
4166,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2015,45000,First,11.3,2987.0,254.8,7.0,,56.0,False,False,False,10,4500.0
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143.0,201.15,5.0,78.76,56.0,False,False,False,9,2333.3333333333335
3051,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2016,16000,First,11.3,2987.0,254.8,7.0,,56.0,False,False,False,9,1777.7777777777778
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,12.7,2179.0,187.7,5.0,,55.76,False,False,False,7,5155.857142857143
3043,Land Rover Discovery Sport TD4 HSE,Coimbatore,2019,25899,First,12.63,2179.0,147.5,5.0,,55.7,False,False,False,6,4316.5
693,Mercedes-Benz SLK-Class SLK 350,Coimbatore,2016,22732,First,18.1,3498.0,306.0,2.0,,55.54,False,True,False,9,2525.777777777778
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,First,18.1,3498.0,306.0,2.0,,55.0,False,True,False,10,1000.0
5740,BMW X5 xDrive 30d M Sport,Chennai,2017,21000,Second,15.97,2993.0,258.0,5.0,,55.0,False,False,False,8,2625.0
2311,BMW X5 xDrive 30d,Coimbatore,2016,17738,First,15.3,2993.0,258.0,5.0,,54.45,False,False,False,9,1970.888888888889
712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,Hyderabad,2015,69000,First,15.97,2993.0,258.0,5.0,,54.0,False,False,False,10,6900.0
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04,54.0,False,True,False,8,1671.5
404,Land Rover Range Rover 2.2L Prestige,Coimbatore,2017,34990,First,12.7,2179.0,187.7,5.0,,53.83,False,False,False,8,4373.75
2537,Audi Q7 35 TDI Quattro Technology,Coimbatore,2016,28733,Second,12.07,2967.0,241.4,7.0,,53.11,False,False,False,9,3192.5555555555557
4869,Land Rover Range Rover 3.6 TDV8 Vogue SE,Coimbatore,2012,84384,First,10.2,4367.0,308.0,7.0,,52.54,False,False,False,13,6491.076923076923
4003,Jaguar XF 2.2 Litre Luxury,Mumbai,2018,3000,First,16.36,2179.0,187.7,5.0,,52.5,False,False,False,7,428.57142857142856
2593,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Second,12.07,2967.0,241.4,7.0,,52.5,False,False,False,10,2100.0
4387,BMW 7 Series 730Ld,Chennai,2014,35000,First,16.46,2993.0,258.0,5.0,,52.0,False,False,False,11,3181.818181818182
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,First,19.33,1999.0,177.0,5.0,72.64,52.0,False,False,False,8,2625.0
4657,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2015,55000,First,12.0,2987.0,224.0,7.0,,52.0,False,False,False,10,5500.0
4938,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2015,56238,First,11.33,4134.0,335.2,7.0,,51.69,False,False,False,10,5623.8
2706,Porsche Panamera Diesel 250hp,Kochi,2014,60033,First,18.18,2967.0,250.0,4.0,,51.52,False,False,False,11,5457.545454545455
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,First,12.6,1950.0,191.34,5.0,86.97,51.43,False,True,False,7,3772.1428571428573
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,12.6,1950.0,191.34,5.0,86.97,51.35,False,True,False,7,2920.8571428571427
1093,Audi Q7 4.2 TDI Quattro Technology,Bangalore,2014,50000,First,11.33,4134.0,335.2,7.0,,51.0,False,False,False,11,4545.454545454545
3705,Mercedes-Benz GLC 220d 4MATIC Style,Coimbatore,2019,29311,First,17.9,2143.0,170.0,5.0,64.57,50.97,False,False,False,6,4885.166666666667
5088,Jaguar XJ 5.0 L V8 Supercharged,Coimbatore,2011,43686,First,10.5,5000.0,503.0,4.0,,50.66,False,True,False,14,3120.4285714285716
2896,Porsche Panamera Diesel,Delhi,2013,48000,Second,17.85,2967.0,300.0,4.0,,50.5,False,False,False,12,4000.0
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,First,13.0,2987.0,258.0,5.0,,50.29,False,False,False,7,8093.142857142857
4345,Audi Q7 35 TDI Quattro Technology,Coimbatore,2016,45180,First,12.07,2967.0,241.4,7.0,,50.22,False,False,False,9,5020.0
2795,BMW X5 X5 M,Pune,2015,69002,First,15.97,2993.0,258.0,5.0,,50.0,False,False,False,10,6900.2
5302,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2016,31075,Second,12.07,2967.0,241.4,7.0,,49.79,False,False,False,9,3452.777777777778
4412,Mercedes-Benz M-Class ML 350 4Matic,Coimbatore,2016,27833,First,0.0,2987.0,165.0,5.0,,49.24,False,False,False,9,3092.5555555555557
3210,Mercedes-Benz M-Class ML 350 4Matic,Coimbatore,2016,22769,First,0.0,2987.0,165.0,5.0,,49.22,False,False,False,9,2529.8888888888887
5107,Mercedes-Benz GLE 250d,Hyderabad,2016,50000,First,17.9,2143.0,201.15,5.0,79.43,49.0,False,False,False,9,5555.555555555556
326,BMW 6 Series 640d Gran Coupe,Mumbai,2011,30000,First,9.52,2993.0,313.0,4.0,,49.0,False,False,False,14,2142.8571428571427
1541,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,First,12.0,2987.0,224.0,7.0,,49.0,False,False,False,11,4727.272727272727
459,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,51002,First,11.33,4134.0,335.2,7.0,,48.91,False,False,False,9,5666.888888888889
